time_us,in_ae,in_sc,in_di,in_gm,in_gy,in_as,in_e2t,in_dt,in_ig,out_out,out_tgt,out_act,out_P,out_I,out_D,out_F,out_DF
26104554,-2,2.14285707,0,1,0.000161204895,0.591083825,1.02866948,0.0199999996,0,-10.0995378,-0.0799999982,0.00923635997,-0.122927614,0,0,-0.0395315625,0
26124546,-2,2.14285707,0,1,0.000130780609,0.283823937,1.02866828,0.0199999996,0,-9.97947502,-0.0799999982,0.0074931765,-0.120526299,0,0.0041943593,-0.0395316035,0
26144538,-2,2.14285707,0,1,7.37359805e-05,0.283823937,1.02866828,0.0199999996,0,-9.75435543,-0.0799999982,0.00422476046,-0.116023898,0,0.00953673013,-0.0395316035,0
26164530,-2,2.14285707,0,1,0.000126752697,0.283823937,1.02866828,0.0199999996,0,-9.96358109,-0.0799999982,0.0072623943,-0.12020839,0,-0.00350643648,-0.0395316035,0
26184522,-2,2.14285707,0,1,0.000147576822,0.283823937,1.02866828,0.0199999996,0,-10.0457582,-0.0799999982,0.00845552888,-0.121851981,0,-0.00426897919,-0.0395316035,0
26204514,-2,2.14285707,0,1,0.00020578281,0.283823937,1.02866828,0.0199999996,0,-10.2754622,-0.0799999982,0.0117904861,-0.126446053,0,-0.00972659141,-0.0395316035,0
26224506,-2,2.14285707,0,1,0.000112690148,0.488333195,1.02866364,0.0199999996,0,-9.90810204,-0.0799999982,0.00645666942,-0.119098455,0,0.00895569287,-0.039531786,0
26244498,-2,2.14285707,0,1,0.00025094868,0.488333195,1.02866364,0.0199999996,0,-10.453723,-0.0799999982,0.014378299,-0.130010903,0,-0.0154897561,-0.039531786,0
26264490,-2,2.14285707,0,1,0.000150403415,0.488333195,1.02866364,0.0199999996,0,-10.0569315,-0.0799999982,0.00861748029,-0.122075081,0,0.00768519286,-0.039531786,0
26284482,-2,2.14285707,0,1,0.000147658662,0.488333195,1.02866364,0.0199999996,0,-10.0461006,-0.0799999982,0.00846021809,-0.12185844,0,0.00344271772,-0.039531786,0
26304474,-2,2.14285707,0,1,0.000131465233,0.488333195,1.02866364,0.0199999996,0,-9.98219585,-0.0799999982,0.00753240241,-0.120580338,0,0.00360517064,-0.039531786,0
26324466,-2,2.14285707,0,1,0.000134633083,0.286043853,1.02866852,0.0199999996,0,-9.99467754,-0.0799999982,0.00771390693,-0.120830365,0,0.00100077281,-0.039531596,0
