time_us,in_ae,in_sc,in_di,in_gm,in_gy,in_as,in_e2t,in_dt,in_ig,in_rr,in_pr,in_rs,in_ps,out_out,out_tgt,out_act,out_P,out_I,out_D,out_F,out_DF
24064537,-200,2.1428570747375488,0,1,7.2626018663868308e-05,0.86716699600219727,1.0286736488342285,0.019999999552965164,0,0.00031144946115091443,8.4670806245412678e-05,1,0,-1268.4256591796875,-7.9999947547912598,0.0041611641645431519,-5.5130667686462402,0,0,-9.9277229309082031,0
24084529,-200,2.1428570747375488,0,1,9.5963478088378906e-05,0.86716699600219727,1.0286736488342285,0.019999999552965164,0,0.00031127157853916287,8.39101558085531e-05,1,0,-1268.4716796875,-7.9999947547912598,0.0054983021691441536,-5.5139875411987305,0,-0.0013411203399300575,-9.9277229309082031,0
24104521,-200,2.1428570747375488,0,1,5.2117975428700447e-05,0.86716699600219727,1.0286736488342285,0.019999999552965164,0,0.00031192228198051453,8.2912520156241953e-05,1,0,-1268.3851318359375,-7.9999947547912598,0.0029861398506909609,-5.5122570991516113,0,0.0019848905503749847,-9.9277229309082031,0
24124513,-200,2.1428570747375488,0,1,6.8774243118241429e-05,0.45317161083221436,1.0286593437194824,0.019999999552965164,0,0.00031327706528827548,8.2348844443913549e-05,1,0,-1268.431884765625,-7.9999942779541016,0.0039404737763106823,-5.5129141807556152,0,-0.00016554932517465204,-9.927861213684082,0
24144505,-200,2.1428570747375488,0,1,0.00011266482761129737,0.45317161083221436,1.0286593437194824,0.019999999552965164,0,0.00031312310602515936,8.3430029917508364e-05,1,0,-1268.5184326171875,-7.9999942779541016,0.0064552188850939274,-5.514646053314209,0,-0.0025878825690597296,-9.927861213684082,0
24164497,-200,2.1428570747375488,0,1,9.1815309133380651e-05,0.45317161083221436,1.0286593437194824,0.019999999552965164,0,0.0003132886195089668,8.3489889220800251e-05,1,0,-1268.477294921875,-7.9999942779541016,0.0052606295794248581,-5.5138235092163086,0,0.00016604263510089368,-9.927861213684082,0
24184489,-200,2.1428570747375488,0,1,7.1821443270891905e-05,0.45317161083221436,1.0286593437194824,0.019999999552965164,0,0.00031308407778851688,8.3530903793871403e-05,1,0,-1268.4378662109375,-7.9999942779541016,0.0041150655597448349,-5.5130348205566406,0,0.0012148853857070208,-9.927861213684082,0
24204481,-200,2.1428570747375488,0,1,1.6403879271820188e-05,0.45317161083221436,1.0286593437194824,0.019999999552965164,0,0.00031327412580139935,8.1781887274701148e-05,1,0,-1268.3284912109375,-7.9999942779541016,0.00093987298896536231,-5.5108475685119629,0,0.0036686393432319164,-9.927861213684082,0
24224473,-200,2.1428570747375488,0,1,0.00012485176557675004,0.55757856369018555,1.0286601781845093,0.019999999552965164,0,0.00031242656405083835,8.3077815361320972e-05,1,0,-1268.5416259765625,-7.9999942779541016,0.007153478916734457,-5.5151271820068359,0,-0.0047684167511761189,-9.9278526306152344,0
24244465,-200,2.1428570747375488,0,1,0.0001448454859200865,0.55757856369018555,1.0286601781845093,0.019999999552965164,0,0.00031295671942643821,8.4661354776471853e-05,1,0,-1268.5810546875,-7.9999942779541016,0.008299035020172596,-5.5159168243408203,0,-0.0030507347546517849,-9.9278526306152344,0
