time_us,in_ms,in_dr,in_gs,in_yr,in_rv,in_ig,out_out,out_tgt,out_act,out_P,out_I,out_D,out_F
97725061,97725,0.839999974,25.4933395,0.0146580637,0,-0.00377665181,2,0.839999974,0.839845121,0.031895496,-0.00377661968,1.21484959e-07,0
97745053,97745,0.839999974,25.3550911,0.0129664587,0,-0.00377661968,2,0.839999974,0.742923319,0.0320694074,-0.00375623442,7.65736986e-05,0
97765045,97765,0.839999974,25.2161331,0.0119092502,0,-0.00375623442,2,0.839999974,0.682349741,0.0322461277,-0.00372276315,0.000125039165,0
97785037,97785,0.839999974,25.0768147,0.0108726341,0,-0.00372276315,2,0.839999974,0.622956038,0.0324252807,-0.00367616839,0.000173103283,0
97805029,97805,0.839999974,24.9375496,0.00996493548,0,-0.00367616839,2,0.839999974,0.57094872,0.0326063596,-0.00361776189,0.000215780019,0
97825021,97825,0.826666653,24.7986317,0.00866845064,0,-0.00361776189,2,0.826666653,0.496665597,0.032268554,-0.00354531943,0.000266144576,0
97845013,97845,0.826666653,24.6612453,0.00733163813,0,-0.00354531943,2,0.826666653,0.4200719,0.0324483216,-0.00345506566,0.000329743867,0
97865005,97865,0.826666653,24.5248413,0.00648228591,0,-0.00345506566,2,0.826666653,0.371407598,0.0326287933,-0.00335288234,0.000371263566,0
97884997,97884,0.826666653,24.3896694,0.00559415435,0,-0.00335288234,2,0.826666653,0.320521414,0.0328096263,-0.00324375811,0.000415048853,0
97904989,97904,0.826666653,24.2561836,0.00474501681,0,-0.00324375811,3,0.826666653,0.271869421,0.0329901837,-0.00311645959,0.000457448041,0
97924981,97924,0.839999974,24.1247005,0.00411971938,0,-0.00311645959,3,0.839999974,0.236042514,0.0337049849,-0.00297636655,0.000500696304,0
97944973,97944,0.839999974,23.9955997,0.00335555198,0,-0.00297636655,3,0.839999974,0.192258954,0.0338863246,-0.00282449648,0.000539883156,0
97964965,97964,0.839999974,23.869194,0.00279180612,0,-0.00282449648,3,0.839999974,0.159958705,0.0340657793,-0.00266335998,0.000569806667,0
97984957,97984,0.839999974,23.7458,0.00227913214,0,-0.00266335998,3,0.839999974,0.130584642,0.0342428014,-0.00249351189,0.000597508042,0
98004949,98004,0.839999974,23.6257496,0.00185127289,0,-0.00249351189,3,0.839999974,0.106070116,0.0344167985,-0.00231600413,0.000621296582,0
98024941,98024,0.879999936,23.5093346,0.00163546612,0,-0.00231600413,3,0.879999936,0.093705304,0.0362342373,-0.00212394353,0.000668921217,0
98044933,98044,0.879999936,23.3975735,0.00127585197,0,-0.00212394353,3,0.879999936,0.0731009319,0.0364073105,-0.00192496262,0.000689728768,0
98064925,98064,0.879999936,23.2896996,0.00114200567,0,-0.00192496262,3,0.879999936,0.0654321015,0.0365759432,-0.00172222545,0.000699508993,0
98084917,98084,0.879999936,23.1858749,0.00119064585,0,-0.00172222545,3,0.879999936,0.0682189763,0.0367397293,-0.00151836837,0.000700237521,0
98104909,98104,0.879999936,23.0861073,0.00129192928,0,-0.00151836837,3,0.879999936,0.0740220919,0.0368985012,-0.00131421548,0.000698236225,0
98124901,98124,0.973333299,22.990509,0.00156983337,0,-0.00131421548,4,0.973333299,0.0899448246,0.0409816839,-0.0010885899,0.000768480939,0
98144893,98144,0.973333299,22.8989449,0.00193970464,0,-0.0010885899,4,0.973333299,0.111136883,0.0411455519,-0.000866612303,0.000753044616,0
98164885,98164,0.973333299,22.8112946,0.00244995859,0,-0.000866612303,4,0.973333299,0.140372276,0.0413036533,-0.000650510367,0.000730305794,0
98184877,98184,0.973333299,22.7273998,0.00292366021,0,-0.000650510367,4,0.973333299,0.167513385,0.0414561182,-0.000439903612,0.000709117565,0
98204869,98204,0.973333299,22.6470585,0.00344318803,0,-0.000439903612,4,0.973333299,0.197280139,0.0416031815,-0.000235634958,0.000685345673,0
98224861,98224,1.13333333,22.5700188,0.00413284823,0,-0.000235634958,4,1.13333333,0.236794755,0.0486074127,1.96092878e-06,0.000794450869,0
98244853,98244,1.13333333,22.4970589,0.004735291,0,1.96092878e-06,4,1.13333333,0.271312177,0.0487650484,0.000231893369,0.000766341167,0
98264845,98264,1.13333333,22.4266815,0.0052515273,0,0.000231893369,5,1.13333333,0.300890326,0.0489180796,0.000455331989,0.0007423684,0
98284837,98284,1.13333333,22.3584919,0.00584226334,0,0.000455331989,5,1.13333333,0.334737003,0.04906727,0.000670995214,0.000714356138,0
98304829,98304,1.13333333,22.2921314,0.00648961216,0,0.000670995214,5,1.13333333,0.371827364,0.0492133386,0.000877868268,0.000683206017,0
98324821,98324,1.34666669,22.2272072,0.00710884249,0,0.000877868268,6,1.34666669,0.407306641,0.0586478375,0.00113455066,0.000845234375,0
98344813,98344,1.34666669,22.1632786,0.00764829665,0,0.00113455066,6,1.34666669,0.438215107,0.0588170029,0.00138422137,0.000819780806,0
98364805,98364,1.34666669,22.0999374,0.00818588119,0,0.00138422137,6,1.34666669,0.469016433,0.0589855798,0.00162681157,0.000794255873,0
98384797,98384,1.34666669,22.0368004,0.00883139297,0,0.00162681157,6,1.34666669,0.506001532,0.0591545813,0.00186051219,0.000762964832,0
98404789,98404,1.34666669,21.9735279,0.00952463597,0,0.00186051219,6,1.34666669,0.545721412,0.0593249127,0.00208445499,0.000729009276,0
98424781,98424,1.58666658,21.9098034,0.0101830708,0,0.00208445499,7,1.58666658,0.58344692,0.0701009631,0.00236658729,0.000915772282,0
98444773,98444,1.58666658,21.8452892,0.0107380711,0,0.00236658729,7,1.58666658,0.615246117,0.0703079924,0.00264139287,0.000889363815,0
98464765,98464,1.58666658,21.7789249,0.011359293,0,0.00264139287,7,1.58666658,0.650839508,0.0705222338,0.00290774531,0.000859387801,0
98484757,98484,1.58666658,21.7113914,0.0118849268,0,0.00290774531,7,1.58666658,0.680956125,0.0707415864,0.00316713215,0.000834318169,0
98504749,98504,1.58666658,21.6425667,0.0124391131,0,0.00316713215,7,1.58666658,0.712708652,0.0709665492,0.00341901975,0.000807628676,0
98524741,98524,1.80000007,21.572298,0.0128838997,0,0.00341901975,8,1.80000007,0.738193035,0.0807705298,0.00372704514,0.000984417158,0
98544733,98544,1.80000007,21.5005188,0.0132974684,0,0.00372704514,8,1.80000007,0.761888802,0.0810401812,0.0040302109,0.000965661544,0
98564725,98564,1.80000007,21.4272499,0.0135054113,0,0.0040302109,8,1.80000007,0.773803055,0.0813172907,0.0043319501,0.000957842916,0
98584717,98584,1.80000007,21.3524323,0.0138544962,0,0.0043319501,8,1.80000007,0.793804109,0.0816022232,0.00462988531,0.000942464976,0
98604709,98604,1.80000007,21.2761345,0.013896022,0,0.00462988531,8,1.80000007,0.796183348,0.0818948522,0.0049292515,0.000943608175,0
98624701,98624,1.97333336,21.1984768,0.0140332002,0,0.0049292515,9,1.97333336,0.804043114,0.090109922,0.00528052635,0.00110318325,0
98644693,98644,1.97333336,21.1194954,0.0139940055,0,0.00528052635,9,1.97333336,0.80179739,0.0904469118,0.00563511299,0.00110943557,0
98664685,98664,1.97333336,21.0386086,0.0140324049,0,0.00563511299,9,1.97333336,0.803997517,0.0907946527,0.00599176064,0.00111160951,0
