time_us,in_us,in_ms,in_la,in_ln,in_gx,in_gy,in_yw,in_ys,in_pt,in_e2,in_pa,in_po,in_na,in_no,in_dm,out_lad,out_nrc,out_nbr,out_ber,out_xte,out_tbc,out_l1d,out_xti,out_enu,out_exi
98304829,98304829,98304,-353635462,1491655324,21.309003829956055,-8.7656869888305664,-0.39331722259521484,33747,-0.29772606492042542,1.0292961597442627,-353650090,1491654820,-353597998,1491647938,0,0.18953980505466461,115,-0.37716913223266602,0.013092488050460815,-21.991874694824219,35087,82.511314392089844,-5.1678995077963918e-05,0.011728137731552124,-5.1678995077963918e-05
98404789,98404789,98404,-353635271,1491655228,20.911722183227539,-8.5863990783691406,-0.39252921938896179,33751,-0.28810268640518188,1.0292668342590332,-353650090,1491654820,-353597810,1491647913,0,0.21719436347484589,132,-0.37432050704956055,0.015291988849639893,-21.35357666015625,35095,80.951393127441406,-5.1678995077963918e-05,0.013092488050460815,-5.1678995077963918e-05
98504749,98504749,98504,-353635084,1491655134,20.580787658691406,-8.429962158203125,-0.39146384596824646,33758,-0.26594641804695129,1.0292407274246216,-353650090,1491654820,-353597626,1491647889,0,0.25287052989006042,153,-0.37066078186035156,0.018096745014190674,-20.727367401123047,35104,79.642387390136719,-5.1678995077963918e-05,0.015291988849639893,-5.1678995077963918e-05
98604709,98604709,98604,-353634901,1491655042,20.279457092285156,-8.2830410003662109,-0.39034190773963928,33764,-0.2362201064825058,1.0292048454284668,-353650090,1491654820,-353597445,1491647865,0,0.28989562392234802,174,-0.36670160293579102,0.021063685417175293,-20.115444183349609,35112,78.444465637207031,-5.1678995077963918e-05,0.018096745014190674,-5.1678995077963918e-05
98704669,98704669,98704,-353634721,1491654952,19.970121383666992,-8.130976676940918,-0.38928502798080444,33770,-0.20546624064445496,1.029187798500061,-353650090,1491654820,-353597267,1491647841,0,0.32120215892791748,191,-0.36294984817504883,0.023711055517196655,-19.519021987915039,35120,77.213119506835938,-5.1678995077963918e-05,0.021063685417175293,-5.1678995077963918e-05
98804629,98804629,98804,-353634543,1491654864,19.633310317993164,-7.9665923118591309,-0.38835352659225464,33775,-0.17994442582130432,1.0291626453399658,-353650090,1491654820,-353597090,1491647818,0,0.34416490793228149,204,-0.35961484909057617,0.025854974985122681,-18.936023712158203,35128,75.874114990234375,-5.1678995077963918e-05,0.023711055517196655,-5.1678995077963918e-05
98904589,98904589,98904,-353634370,1491654778,19.268386840820312,-7.7904510498046875,-0.387571781873703,33780,-0.16406618058681488,1.0291575193405151,-353650090,1491654820,-353596918,1491647795,0,0.35883289575576782,212,-0.35673666000366211,0.027481749653816223,-18.366838455200195,35135,74.426116943359375,-5.1678995077963918e-05,0.025854974985122681,-5.1678995077963918e-05
99004549,99004549,99004,-353634199,1491654694,18.887729644775391,-7.6093430519104004,-0.38697254657745361,33783,-0.15932357311248779,1.0291292667388916,-353650090,1491654820,-353596748,1491647773,0,0.36904001235961914,218,-0.35413217544555664,0.028847873210906982,-17.811368942260742,35143,72.919334411621094,-5.1678995077963918e-05,0.027481749653816223,-5.1678995077963918e-05
99104509,99104509,99104,-353634032,1491654611,18.504400253295898,-7.4303245544433594,-0.38654673099517822,33786,-0.16454055905342102,1.0291342735290527,-353650090,1491654820,-353596581,1491647751,0,0.37973585724830627,224,-0.35152292251586914,0.030313268303871155,-17.261207580566406,35150,71.406570434570312,-5.1678995077963918e-05,0.028847873210906982,-5.1678995077963918e-05
99204469,99204469,99204,-353633868,1491654531,18.129117965698242,-7.2584891319274902,-0.386208176612854,33788,-0.17629452049732208,1.029120922088623,-353650090,1491654820,-353596417,1491647729,0,0.38998478651046753,231,-0.34904241561889648,0.031789138913154602,-16.735607147216797,35157,69.930221557617188,-5.1678995077963918e-05,0.030313268303871155,-5.1678995077963918e-05
99304429,99304429,99304,-353633708,1491654452,17.77082633972168,-7.0964517593383789,-0.38573014736175537,33790,-0.18982769548892975,1.0291098356246948,-353650090,1491654820,-353596257,1491647708,0,0.40490284562110901,240,-0.34624671936035156,0.033683449029922485,-16.212993621826172,35165,68.523452758789062,-5.1678995077963918e-05,0.031789138913154602,-5.1678995077963918e-05
99404389,99404389,99404,-353633551,1491654375,17.438785552978516,-6.9442901611328125,-0.38494724035263062,33795,-0.20031046867370605,1.0290957689285278,-353650090,1491654820,-353596100,1491647687,0,0.42144611477851868,251,-0.34322023391723633,0.035741865634918213,-15.705938339233398,35171,67.217170715332031,-5.1678995077963918e-05,0.033683449029922485,-5.1678995077963918e-05
99504349,99504349,99504,-353633396,1491654299,17.141016006469727,-6.8022856712341309,-0.38378402590751648,33802,-0.20399326086044312,1.0290802717208862,-353650090,1491654820,-353595944,1491647667,0,0.44147941470146179,263,-0.33967113494873047,0.038110241293907166,-15.203136444091797,35178,66.038436889648438,-5.1678995077963918e-05,0.035741865634918213,-5.1678995077963918e-05
99605142,99605142,99605,-353633243,1491654225,16.878717422485352,-6.6683568954467773,-0.38220638036727905,33811,-0.199008509516716,1.0290660858154297,-353650090,1491654820,-353595791,1491647646,0,0.46041890978813171,274,-0.33586502075195312,0.040388450026512146,-14.719856262207031,35185,64.988548278808594,-5.1678995077963918e-05,0.038110241293907166,-5.1678995077963918e-05
99705102,99705102,99705,-353633091,1491654151,16.650466918945312,-6.5407848358154297,-0.38024860620498657,33822,-0.18564940989017487,1.02904212474823,-353650090,1491654820,-353595638,1491647626,0,0.4818882942199707,286,-0.33142375946044922,0.042885571718215942,-14.232620239257812,35191,64.060623168945312,-5.1678995077963918e-05,0.040388450026512146,-5.1678995077963918e-05
99805062,99805062,99805,-353632941,1491654079,16.438127517700195,-6.4132347106933594,-0.37801626324653625,33835,-0.16634535789489746,1.0290429592132568,-353650090,1491654820,-353595487,1491647606,0,0.49920463562011719,295,-0.32693815231323242,0.0450429767370224,-13.761780738830566,35198,63.186058044433594,-5.1678995077963918e-05,0.042885571718215942,-5.1678995077963918e-05
99905022,99905022,99905,-353632792,1491654008,16.229841232299805,-6.2825298309326172,-0.37560015916824341,33848,-0.14436222612857819,1.0290251970291138,-353650090,1491654820,-353595336,1491647586,0,0.51275420188903809,302,-0.32242536544799805,0.046908855438232422,-13.29877758026123,35204,62.321300506591797,-5.1678995077963918e-05,0.0450429767370224,-5.1678995077963918e-05
100004982,100004982,100004,-353632646,1491653939,16.008399963378906,-6.1444945335388184,-0.37304818630218506,33863,-0.12323229759931564,1.0290118455886841,-353650090,1491654820,-353595189,1491647567,0,0.52020251750946045,305,-0.31818628311157227,0.048302575945854187,-12.848909378051758,35210,61.403602600097656,-5.1678995077963918e-05,0.046908855438232422,-5.1678995077963918e-05
100104942,100104942,100104,-353632501,1491653871,15.775344848632812,-6.0025467872619629,-0.37049123644828796,33878,-0.10621092468500137,1.0290019512176514,-353650090,1491654820,-353595043,1491647547,0,0.52377676963806152,307,-0.31417655944824219,0.049408644437789917,-12.410101890563965,35216,60.442562103271484,-5.1678995077963918e-05,0.048302575945854187,-5.1678995077963918e-05
100204902,100204902,100204,-353632359,1491653804,15.529034614562988,-5.857947826385498,-0.36808231472969055,33892,-0.095471955835819244,1.0289862155914307,-353650090,1491654820,-353594899,1491647529,0,0.52675682306289673,308,-0.31018686294555664,0.050533667206764221,-11.971765518188477,35222,59.434288024902344,-5.1678995077963918e-05,0.049408644437789917,-5.1678995077963918e-05
100304862,100304862,100304,-353632218,1491653739,15.27978515625,-5.717404842376709,-0.36591064929962158,33904,-0.091783337295055389,1.0289983749389648,-353650090,1491654820,-353594757,1491647510,0,0.52868568897247314,309,-0.30645370483398438,0.051598682999610901,-11.553913116455078,35228,58.421749114990234,-5.1678995077963918e-05,0.050533667206764221,-5.1678995077963918e-05
100404822,100404822,100404,-353632081,1491653676,15.031111717224121,-5.5824456214904785,-0.36395728588104248,33915,-0.094246111810207367,1.0289946794509888,-353650090,1491654820,-353594618,1491647491,0,0.53151446580886841,311,-0.30282211303710938,0.052782207727432251,-11.150510787963867,35233,57.418529510498047,-5.1678995077963918e-05,0.051598682999610901,-5.1678995077963918e-05
100504782,100504782,100504,-353631946,1491653615,14.786855697631836,-5.4548239707946777,-0.36210677027702332,33926,-0.10059372335672379,1.0289708375930786,-353650090,1491654820,-353594481,1491647473,0,0.5364270806312561,314,-0.29921388626098633,0.054195374250411987,-10.760640144348145,35238,56.439598083496094,-5.1678995077963918e-05,0.052782207727432251,-5.1678995077963918e-05
100604742,100604742,100604,-353631814,1491653555,14.552495956420898,-5.334113597869873,-0.36019468307495117,33937,-0.10787195712327957,1.0289838314056396,-353650090,1491654820,-353594348,1491647456,0,0.54440343379974365,319,-0.29540443420410156,0.055931404232978821,-10.37482738494873,35244,55.502738952636719,-5.1678995077963918e-05,0.054195374250411987,-5.1678995077963918e-05
100704702,100704702,100704,-353631684,1491653496,14.331122398376465,-5.2197213172912598,-0.35803982615470886,33949,-0.11313386261463165,1.0289696455001831,-353650090,1491654820,-353594216,1491647438,0,0.55356228351593018,325,-0.29149293899536133,0.057796135544776917,-9.9989805221557617,35249,54.617565155029297,-5.1678995077963918e-05,0.055931404232978821,-5.1678995077963918e-05
100804662,100804662,100804,-353631557,1491653439,14.124236106872559,-5.1089797019958496,-0.35551667213439941,33964,-0.11405554413795471,1.0289657115936279,-353650090,1491654820,-353594087,1491647421,0,0.56184017658233643,330,-0.2875056266784668,0.059569567441940308,-9.6358375549316406,35254,53.785858154296875,-5.1678995077963918e-05,0.057796135544776917,-5.1678995077963918e-05
100904622,100904622,100904,-353631431,1491653383,13.930965423583984,-4.9999175071716309,-0.35263064503669739,33980,-0.10946653783321381,1.0289528369903564,-353650090,1491654820,-353593959,1491647404,0,0.56873327493667603,333,-0.28339338302612305,0.061193808913230896,-9.2809152603149414,35259,53.002346038818359,-5.1678995077963918e-05,0.059569567441940308,-5.1678995077963918e-05
101004582,101004582,101004,-353631307,1491653328,13.746977806091309,-4.8895120620727539,-0.34942713379859924,33998,-0.099565744400024414,1.0289632081985474,-353650090,1491654820,-353593833,1491647388,0,0.5734020471572876,336,-0.27913761138916016,0.062587648630142212,-8.9304313659667969,35263,52.248878479003906,-5.1678995077963918e-05,0.061193808913230896,-5.1678995077963918e-05
101104542,101104542,101104,-353631184,1491653274,13.566703796386719,-4.776425838470459,-0.34600549936294556,34018,-0.08583667129278183,1.0289443731307983,-353650090,1491654820,-353593709,1491647371,0,0.57385098934173584,336,-0.27497529983520508,0.063542336225509644,-8.5915708541870117,35268,51.505203247070312,-5.1678995077963918e-05,0.062587648630142212,-5.1678995077963918e-05
101204502,101204502,101204,-353631063,1491653222,13.383429527282715,-4.6596097946166992,-0.34245294332504272,34038,-0.070672892034053802,1.0289452075958252,-353650090,1491654820,-353593586,1491647355,0,0.56991636753082275,333,-0.27098751068115234,0.064049527049064636,-8.2657670974731445,35272,50.747539520263672,-5.1678995077963918e-05,0.063542336225509644,-5.1678995077963918e-05
101304462,101304462,101304,-353630944,1491653171,13.194155693054199,-4.5404157638549805,-0.33886799216270447,34059,-0.056801591068506241,1.028933048248291,-353650090,1491654820,-353593465,1491647339,0,0.56353241205215454,329,-0.26710844039916992,0.064321234822273254,-7.9474010467529297,35277,49.967418670654297,-5.1678995077963918e-05,0.064049527049064636,-5.1678995077963918e-05
101404422,101404422,101404,-353630827,1491653121,12.998794555664062,-4.4205961227416992,-0.33538755774497986,34079,-0.0466591976583004,1.0289313793182373,-353650090,1491654820,-353593346,1491647323,0,0.55582857131958008,324,-0.26333236694335938,0.064475446939468384,-7.6364831924438477,35281,49.166606903076172,-5.1678995077963918e-05,0.064321234822273254,-5.1678995077963918e-05
101504382,101504382,101504,-353630711,1491653073,12.801248550415039,-4.304069995880127,-0.33212786912918091,34098,-0.041809290647506714,1.0289231538772583,-353650090,1491654820,-353593228,1491647308,0,0.54797446727752686,320,-0.25972747802734375,0.064621046185493469,-7.3397703170776367,35285,48.362808227539062,-5.1678995077963918e-05,0.064475446939468384,-5.1678995077963918e-05
101604342,101604342,101604,-353630597,1491653025,12.605873107910156,-4.1931910514831543,-0.32913887500762939,34115,-0.042663104832172394,1.0289231538772583,-353650090,1491654820,-353593112,1491647292,0,0.54315757751464844,317,-0.25600767135620117,0.065116614103317261,-7.0445480346679688,35289,47.573360443115234,-5.1678995077963918e-05,0.064621046185493469,-5.1678995077963918e-05
