#motors
frame,motor,stage,roll,pitch,yaw,throttle,enabled,order
quad_plus,18,norm,0,0,0,0,0,0
quad_plus,19,norm,0,0,0,0,0,0
quad_plus,20,norm,0,0,0,0,0,0
quad_plus,21,norm,0,0,0,0,0,0
quad_plus,22,norm,0,0,0,0,0,0
quad_plus,23,norm,0,0,0,0,0,0
quad_plus,24,norm,0,0,0,0,0,0
quad_plus,25,norm,0,0,0,0,0,0
quad_plus,26,norm,0,0,0,0,0,0
quad_plus,27,norm,0,0,0,0,0,0
quad_plus,28,norm,0,0,0,0,0,0
quad_plus,29,norm,0,0,0,0,0,0
quad_plus,30,norm,0,0,0,0,0,0
quad_plus,31,norm,0,0,0,0,0,0
hexa_x,0,raw,3212836864,3007036718,1065353216,1065353216,1,2
hexa_x,1,raw,1065353216,3007036718,3212836864,1065353216,1,5
hexa_x,2,raw,1056964607,1063105495,1065353216,1065353216,1,6
hexa_x,3,raw,3204448253,3210589143,3212836864,1065353216,1,3
hexa_x,4,raw,3204448257,1063105495,3212836864,1065353216,1,1
hexa_x,5,raw,1056964607,3210589143,1065353216,1065353216,1,4
hexa_x,6,raw,0,0,0,0,0,0
hexa_x,7,raw,0,0,0,0,0,0
hexa_x,8,raw,0,0,0,0,0,0
hexa_x,9,raw,0,0,0,0,0,0
hexa_x,10,raw,0,0,0,0,0,0
hexa_x,11,raw,0,0,0,0,0,0
hexa_x,12,raw,0,0,0,0,0,0
hexa_x,13,raw,0,0,0,0,0,0
hexa_x,14,raw,0,0,0,0,0,0
hexa_x,15,raw,0,0,0,0,0,0
hexa_x,16,raw,0,0,0,0,0,0
hexa_x,17,raw,0,0,0,0,0,0
hexa_x,18,raw,0,0,0,0,0,0
hexa_x,19,raw,0,0,0,0,0,0
hexa_x,20,raw,0,0,0,0,0,0
hexa_x,21,raw,0,0,0,0,0,0
hexa_x,22,raw,0,0,0,0,0,0
hexa_x,23,raw,0,0,0,0,0,0
hexa_x,24,raw,0,0,0,0,0,0
hexa_x,25,raw,0,0,0,0,0,0
hexa_x,26,raw,0,0,0,0,0,0
hexa_x,27,raw,0,0,0,0,0,0
hexa_x,28,raw,0,0,0,0,0,0
hexa_x,29,raw,0,0,0,0,0,0
hexa_x,30,raw,0,0,0,0,0,0
hexa_x,31,raw,0,0,0,0,0,0
hexa_x,0,norm,3204448256,3000551493,1056964608,1065353216,1,2
hexa_x,1,norm,1056964608,3000551493,3204448256,1065353216,1,5
hexa_x,2,norm,1048575999,1056964608,1056964608,1065353216,1,6
hexa_x,3,norm,3196059645,3204448256,3204448256,1065353216,1,3
hexa_x,4,norm,3196059649,1056964608,3204448256,1065353216,1,1
hexa_x,5,norm,1048575999,3204448256,1056964608,1065353216,1,4
hexa_x,6,norm,0,0,0,0,0,0
hexa_x,7,norm,0,0,0,0,0,0
hexa_x,8,norm,0,0,0,0,0,0
hexa_x,9,norm,0,0,0,0,0,0
hexa_x,10,norm,0,0,0,0,0,0
hexa_x,11,norm,0,0,0,0,0,0
hexa_x,12,norm,0,0,0,0,0,0
hexa_x,13,norm,0,0,0,0,0,0
hexa_x,14,norm,0,0,0,0,0,0
hexa_x,15,norm,0,0,0,0,0,0
hexa_x,16,norm,0,0,0,0,0,0
hexa_x,17,norm,0,0,0,0,0,0
hexa_x,18,norm,0,0,0,0,0,0
hexa_x,19,norm,0,0,0,0,0,0
hexa_x,20,norm,0,0,0,0,0,0
hexa_x,21,norm,0,0,0,0,0,0
hexa_x,22,norm,0,0,0,0,0,0
hexa_x,23,norm,0,0,0,0,0,0
hexa_x,24,norm,0,0,0,0,0,0
hexa_x,25,norm,0,0,0,0,0,0
hexa_x,26,norm,0,0,0,0,0,0
hexa_x,27,norm,0,0,0,0,0,0
hexa_x,28,norm,0,0,0,0,0,0
hexa_x,29,norm,0,0,0,0,0,0
hexa_x,30,norm,0,0,0,0,0,0
hexa_x,31,norm,0,0,0,0,0,0
hexa_plus,0,raw,3007036718,1065353216,1065353216,1065353216,1,1
hexa_plus,1,raw,843898414,3212836864,3212836864,1065353216,1,4
hexa_plus,2,raw,1063105495,3204448257,3212836864,1065353216,1,5
hexa_plus,3,raw,3210589143,1056964607,1065353216,1065353216,1,2
hexa_plus,4,raw,1063105495,1056964607,1065353216,1065353216,1,6
hexa_plus,5,raw,3210589143,3204448257,3212836864,1065353216,1,3
hexa_plus,6,raw,0,0,0,0,0,0
hexa_plus,7,raw,0,0,0,0,0,0
hexa_plus,8,raw,0,0,0,0,0,0
hexa_plus,9,raw,0,0,0,0,0,0
hexa_plus,10,raw,0,0,0,0,0,0
hexa_plus,11,raw,0,0,0,0,0,0
hexa_plus,12,raw,0,0,0,0,0,0
hexa_plus,13,raw,0,0,0,0,0,0
hexa_plus,14,raw,0,0,0,0,0,0
hexa_plus,15,raw,0,0,0,0,0,0
hexa_plus,16,raw,0,0,0,0,0,0
hexa_plus,17,raw,0,0,0,0,0,0
hexa_plus,18,raw,0,0,0,0,0,0
hexa_plus,19,raw,0,0,0,0,0,0
hexa_plus,20,raw,0,0,0,0,0,0
hexa_plus,21,raw,0,0,0,0,0,0
hexa_plus,22,raw,0,0,0,0,0,0
hexa_plus,23,raw,0,0,0,0,0,0
hexa_plus,24,raw,0,0,0,0,0,0
hexa_plus,25,raw,0,0,0,0,0,0
hexa_plus,26,raw,0,0,0,0,0,0
hexa_plus,27,raw,0,0,0,0,0,0
hexa_plus,28,raw,0,0,0,0,0,0
hexa_plus,29,raw,0,0,0,0,0,0
hexa_plus,30,raw,0,0,0,0,0,0
hexa_plus,31,raw,0,0,0,0,0,0
hexa_plus,0,norm,3000551493,1056964608,1056964608,1065353216,1,1
hexa_plus,1,norm,837586850,3204448256,3204448256,1065353216,1,4
hexa_plus,2,norm,1056964608,3196059649,3204448256,1065353216,1,5
hexa_plus,3,norm,3204448256,1048575999,1056964608,1065353216,1,2
hexa_plus,4,norm,1056964608,1048575999,1056964608,1065353216,1,6
hexa_plus,5,norm,3204448256,3196059649,3204448256,1065353216,1,3
hexa_plus,6,norm,0,0,0,0,0,0
hexa_plus,7,norm,0,0,0,0,0,0
hexa_plus,8,norm,0,0,0,0,0,0
hexa_plus,9,norm,0,0,0,0,0,0
hexa_plus,10,norm,0,0,0,0,0,0
hexa_plus,11,norm,0,0,0,0,0,0
hexa_plus,12,norm,0,0,0,0,0,0
hexa_plus,13,norm,0,0,0,0,0,0
hexa_plus,14,norm,0,0,0,0,0,0
hexa_plus,15,norm,0,0,0,0,0,0
hexa_plus,16,norm,0,0,0,0,0,0
hexa_plus,17,norm,0,0,0,0,0,0
hexa_plus,18,norm,0,0,0,0,0,0
hexa_plus,19,norm,0,0,0,0,0,0
hexa_plus,20,norm,0,0,0,0,0,0
hexa_plus,21,norm,0,0,0,0,0,0
hexa_plus,22,norm,0,0,0,0,0,0
hexa_plus,23,norm,0,0,0,0,0,0
hexa_plus,24,norm,0,0,0,0,0,0
hexa_plus,25,norm,0,0,0,0,0,0
hexa_plus,26,norm,0,0,0,0,0,0
hexa_plus,27,norm,0,0,0,0,0,0
