#notch
scenario,step,in,out_f,out_x,out_y,out_z
plain,92,1072437001,1067716759,1067716759,1076105367,3215200407
plain,93,1072196614,1067834476,1067834476,1076223084,3215318124
plain,94,1070109584,1067756719,1067756719,1076145327,3215240367
plain,95,1066876549,1067459072,1067459072,1075847680,3214942720
plain,96,1061906805,1066998584,1066998584,1075387192,3214482232
plain,97,1057651839,1066477774,1066477774,1074866382,3213961422
plain,98,1057037057,1065998730,1065998730,1074387338,3213482378
plain,99,1060067946,1065625480,1065625480,1074014088,3213109128
plain,100,1065353230,1065366982,1065366982,1073755590,3212850630
plain,101,1067995873,1065014281,1065014281,1073402889,3212497929
plain,102,1069511298,1064670377,1064670377,1073058985,3212154025
plain,103,1069203896,1064231730,1064231730,1072620338,3211715378
plain,104,1067076399,1063638957,1063638957,1072027565,3211122605
plain,105,1062306578,1062909301,1062909301,1071297909,3210392949
plain,106,1054716326,1062122655,1062122655,1070511263,3209606303
plain,107,1044160392,1061385497,1061385497,1069774105,3208869145
plain,108,1042237432,1060786536,1060786536,1069175144,3208270184
plain,109,1051840284,1060364380,1060364380,1068752988,3207848028
plain,110,1059923969,1060097395,1060097395,1068486003,3207581043
plain,111,1065423487,1059917871,1059917871,1068306479,3207401519
plain,112,1067103953,1059743451,1059743451,1068132059,3207227099
plain,113,1066982972,1059512920,1059512920,1067901528,3206996568
plain,114,1064770016,1059210814,1059210814,1067599422,3206694462
plain,115,1058724962,1058873062,1058873062,1067261670,3206356710
plain,116,1048449736,1058571769,1058571769,1066960377,3206055417
plain,117,1022504768,1058385983,1058385983,1066774591,3205869631
plain,118,1023751104,1058370418,1058370418,1066759026,3205854066
plain,119,1048809612,1058534362,1058534362,1066922970,3206018010
serviced,0,0,0,0,0,2147483648
serviced,1,1053284172,1051802789,1051802789,1060191397,3199286437
serviced,2,1059407144,1057123550,1057123550,1065512158,3204607198
serviced,3,1060021926,1056579940,1056579940,1064968548,3204063588
serviced,4,1056961955,1051727293,1051727293,1060115901,3199210941
serviced,5,1043985495,1042786598,1042786598,1051175206,3190270246
serviced,6,3188566307,1021603504,1021603504,1029992112,3169087152
serviced,7,3198592040,3163180152,3163180152,3171568760,1015696504
serviced,8,3197630500,1024336996,1024336996,1032725604,3171820644
serviced,9,3176632112,1042117712,1042117712,1050506320,3189601360
serviced,10,1051045839,1050062434,1050062434,1058451042,3197546082
serviced,11,1060269182,1054015938,1054015938,1062404546,3201499586
serviced,12,1064221842,1056263024,1056263024,1064651632,3203746672
serviced,13,1064463791,1056594737,1056594737,1064983345,3204078385
serviced,14,1060992886,1055451237,1055451237,1063839845,3202934885
serviced,15,1053443921,1053640891,1053640891,1062029499,3201124539
serviced,16,1027514392,1051997112,1051997112,1060385720,3199480760
serviced,17,3190746732,1051097084,1051097084,1059485692,3198580732
serviced,18,3190945150,1051120057,1051120057,1059508665,3198603705
serviced,19,1025140408,1051863118,1051863118,1060251726,3199346766
serviced,20,1068544434,1067577176,1067577176,1075965784,3215060824
serviced,21,1071391108,1066418135,1066418135,1074806743,3213901783
serviced,22,1073080438,1066202086,1066202086,1074590694,3213685734
serviced,23,1072915262,1066724664,1066724664,1075113272,3214208312
serviced,24,1070897048,1067568906,1067568906,1075957514,3215052554
serviced,25,1067725869,1068301218,1068301218,1076689826,3215784866
serviced,26,1063714048,1068626258,1068626258,1077014866,3216109906
serviced,27,1059551640,1068456496,1068456496,1076845104,3215940144
serviced,28,1059012566,1067892288,1067892288,1076280896,3215375936
serviced,29,1062101589,1067140684,1067140684,1075529292,3214624332
serviced,30,1066390105,1066416309,1066416309,1074804917,3213899957
serviced,31,1069043604,1065863822,1065863822,1074252430,3213347470
serviced,32,1070560590,1065524743,1065524743,1073913351,3213008391
serviced,33,1070245436,1065346831,1065346831,1073735439,3212830479
serviced,34,1068100942,1065132467,1065132467,1073521075,3212616115
serviced,35,1064303389,1064863778,1064863778,1073252386,3212347426
serviced,36,1057767448,1064428741,1064428741,1072817349,3211912389
serviced,37,1050048064,1063817378,1063817378,1072205986,3211301026
