#declination
lat,lon,intensity,declination,inclination,covered
3266576384,3274964992,1057720757,1125438850,3264219801,0
3266576384,3274833920,1057720757,1125307778,3264219801,0
3266576384,3274702848,1057720757,1125176706,3264219802,0
3266576384,3274571776,1057720757,1125045634,3264219802,0
3266576384,3274440704,1057720757,1124914562,3264219803,0
3266576384,3274309632,1057720757,1124783490,3264219803,0
3266576384,3274178560,1057720757,1124652418,3264219803,0
3266576384,3274047488,1057720757,1124521346,3264219802,0
3266576384,3273916416,1057720757,1124390274,3264219802,0
3266576384,3273785344,1057720757,1124259202,3264219801,0
3266576384,3273654272,1057720757,1124128130,3264219801,0
3266576384,3273523200,1057720757,1123920644,3264219801,0
3266576384,3273392128,1057720757,1123658500,3264219801,0
3266576384,3273261056,1057720757,1123396357,3264219801,0
3266576384,3273129984,1057720757,1123134213,3264219801,0
3266576384,3272998912,1057720757,1122872069,3264219801,0
3266576384,3272867840,1057720757,1122609925,3264219801,0
3266576384,3272736768,1057720757,1122347781,3264219801,0
3266576384,3272605696,1057720757,1122085637,3264219801,0
3266576384,3272474624,1057720757,1121823493,3264219801,0
3266576384,3272343552,1057720757,1121561349,3264219801,0
3266576384,3272212480,1057720757,1121299205,3264219801,0
3266576384,3272081408,1057720757,1121037061,3264219801,0
3266576384,3271950336,1057720757,1120774917,3264219801,0
3266576384,3271819264,1057720757,1120512773,3264219801,0
3266576384,3271688192,1057720757,1120250629,3264219801,0
3266576384,3271557120,1057720757,1119988485,3264219801,0
3266576384,3271294976,1057720757,1119726341,3264219801,0
3266576384,3271032832,1057720757,1119464197,3264219801,0
3266576384,3270770688,1057720757,1119202053,3264219801,0
3266576384,3270508544,1057720757,1118939909,3264219801,0
3266576384,3270246400,1057720757,1118677765,3264219801,0
3266576384,3269984256,1057720757,1118415621,3264219801,0
3266576384,3269722112,1057720757,1118153477,3264219801,0
3266576384,3269459968,1057720757,1117891333,3264219801,0
3266576384,3269197824,1057720757,1117629189,3264219801,0
3266576384,3268935680,1057720757,1117367045,3264219801,0
3266576384,3268673536,1057720757,1117104901,3264219801,0
3266576384,3268411392,1057720757,1116842757,3264219801,0
3266576384,3268149248,1057720757,1116580613,3264219801,0
3266576384,3267887104,1057720757,1116318469,3264219801,0
3266576384,3267624960,1057720757,1116056325,3264219801,0
3266576384,3267362816,1057720757,1115794181,3264219801,0
3266576384,3267100672,1057720757,1115379209,3264219801,0
3266576384,3266838528,1057720757,1114854921,3264219801,0
3266576384,3266576384,1057720757,1114330633,3264219801,0
3266576384,3266314240,1057720757,1113806345,3264219801,0
3266576384,3266052096,1057720757,1113282057,3264219801,0
3266576384,3265789952,1057720757,1112757769,3264219801,0
3266576384,3265527808,1057720757,1112233481,3264219801,0
3266576384,3265265664,1057720757,1111709193,3264219801,0
3266576384,3265003520,1057720757,1111184905,3264219801,0
3266576384,3264741376,1057720757,1110660617,3264219801,0
3266576384,3264479232,1057720757,1110136329,3264219801,0
3266576384,3264217088,1057720757,1109612041,3264219801,0
3266576384,3263954944,1057720757,1109087753,3264219801,0
3266576384,3263692800,1057720757,1108563465,3264219801,0
3266576384,3263430656,1057720757,1108039177,3264219801,0
3266576384,3263168512,1057720757,1107514889,3264219801,0
3266576384,3262644224,1057720757,1106684947,3264219801,0
3266576384,3262119936,1057720757,1105636371,3264219801,0
3266576384,3261595648,1057720757,1104587795,3264219801,0
3266576384,3261071360,1057720757,1103539219,3264219801,0
3266576384,3260547072,1057720757,1102490643,3264219801,0
3266576384,3260022784,1057720757,1101442067,3264219801,0
3266576384,3259498496,1057720757,1100393491,3264219801,0
3266576384,3258974208,1057720757,1099344915,3264219801,0
3266576384,3258449920,1057720757,1097685030,3264219801,0
3266576384,3257925632,1057720757,1095587877,3264219801,0
3266576384,3257401344,1057720757,1093490725,3264219801,0
3266576384,3256877056,1057720757,1091393573,3264219801,0
3266576384,3256352768,1057720757,1088073802,3264219801,0
3266576384,3255828480,1057720757,1083879498,3264219801,0
3266576384,3255304192,1057720757,1077239956,3264219801,0
3266576384,3254779904,1057720757,1062568528,3264219801,0
3266576384,3253731328,1057720757,3214229205,3264219801,0
3266576384,3252682752,1057720757,3226115946,3264219801,0
3266576384,3251634176,1057720757,3232059317,3264219801,0
3266576384,3250585600,1057720757,3236253621,3264219801,0
3266576384,3249537024,1057720757,3239225307,3264219801,0
3266576384,3248488448,1057720757,3241322459,3264219801,0
3266576384,3247439872,1057720757,3243419611,3264219801,0
3266576384,3246391296,1057720757,3245516763,3264219801,0
3266576384,3244294144,1057720757,3247002605,3264219801,0
3266576384,3242196992,1057720757,3248051181,3264219801,0
3266576384,3240099840,1057720757,3249099757,3264219801,0
3266576384,3238002688,1057720757,3250148333,3264219801,0
3266576384,3233808384,1057720757,3251196909,3264219801,0
3266576384,3229614080,1057720757,3252245485,3264219801,0
3266576384,3221225472,1057720757,3253294061,3264219801,0
3266576384,0,1057720757,3254342637,3264219801,0
3266576384,1073741824,1057720757,3255085559,3264219801,0
3266576384,1082130432,1057720757,3255609847,3264219801,0
3266576384,1086324736,1057720757,3256134135,3264219801,0
3266576384,1090519040,1057720757,3256658423,3264219801,0
3266576384,1092616192,1057720757,3257182711,3264219801,0
3266576384,1094713344,1057720757,3257706999,3264219801,0
3266576384,1096810496,1057720757,3258231287,3264219801,0
3266576384,1098907648,1057720757,3258755575,3264219801,0
3266576384,1099956224,1057720757,3259279863,3264219801,0
3266576384,1101004800,1057720757,3259804151,3264219801,0
