name,key,idx,group_element,type,default
GPS1_POS_X,89,1,288,4,0
GPS1_POS_Y,89,2,288,4,0
GPS1_POS_Z,89,3,288,4,0
GPS1_DELAY_MS,89,0,352,2,0
GPS1_COM_PORT,89,0,416,1,1
GPS1_MB_TYPE,89,0,4576,1,0
GPS1_MB_OFS_X,89,0,8672,5,0
GPS1_MB_OFS_X,89,1,8672,4,0
GPS1_MB_OFS_Y,89,2,8672,4,0
GPS1_MB_OFS_Z,89,3,8672,4,0
GPS1_CAN_NODEID,89,0,544,3,0
GPS1_CAN_OVRIDE,89,0,608,3,0
GPS2_TYPE,89,0,97,1,0
GPS2_GNSS_MODE,89,0,161,2,0
GPS2_RATE_MS,89,0,225,2,200
GPS2_POS_X,89,0,289,5,0
GPS2_POS_X,89,1,289,4,0
GPS2_POS_Y,89,2,289,4,0
GPS2_POS_Z,89,3,289,4,0
GPS2_DELAY_MS,89,0,353,2,0
GPS2_COM_PORT,89,0,417,1,1
GPS2_MB_TYPE,89,0,4577,1,0
GPS2_MB_OFS_X,89,0,8673,5,0
GPS2_MB_OFS_X,89,1,8673,4,0
GPS2_MB_OFS_Y,89,2,8673,4,0
GPS2_MB_OFS_Z,89,3,8673,4,0
GPS2_CAN_NODEID,89,0,545,3,0
GPS2_CAN_OVRIDE,89,0,609,3,0
CAM_MAX_ROLL,90,0,7,2,0
CAM_AUTO_ONLY,90,0,10,1,0
CAM1_TYPE,90,0,76,1,0
CAM1_DURATION,90,0,140,4,0.100000001
CAM1_SERVO_ON,90,0,204,2,1300
CAM1_SERVO_OFF,90,0,268,2,1100
CAM1_TRIGG_DIST,90,0,332,4,0
CAM1_RELAY_ON,90,0,396,1,1
CAM1_INTRVAL_MIN,90,0,460,4,0
CAM1_FEEDBAK_PIN,90,0,524,1,-1
CAM1_FEEDBAK_POL,90,0,588,1,1
CAM1_OPTIONS,90,0,652,1,0
CAM1_MNT_INST,90,0,716,1,0
CAM1_HFOV,90,0,780,4,0
CAM1_VFOV,90,0,844,4,0
CAM2_TYPE,90,0,77,1,0
CAM2_DURATION,90,0,141,4,0.100000001
CAM2_SERVO_ON,90,0,205,2,1300
CAM2_SERVO_OFF,90,0,269,2,1100
CAM2_TRIGG_DIST,90,0,333,4,0
