#chirp
config,time,output,freq_rads,complete
sweep,3221225472,0,1078530011,0
sweep,3221141586,0,1078530011,0
sweep,3221057699,0,1078530011,0
sweep,3220973813,0,1078530011,0
sweep,3220889927,0,1078530011,0
sweep,3220806041,0,1078530011,0
sweep,3220722155,0,1078530011,0
sweep,3220638269,0,1078530011,0
sweep,3220554383,0,1078530011,0
sweep,3220470497,0,1078530011,0
sweep,3220386611,0,1078530011,0
sweep,3220302725,0,1078530011,0
sweep,3220218839,0,1078530011,0
sweep,3220134953,0,1078530011,0
sweep,3220051067,0,1078530011,0
sweep,3219967180,0,1078530011,0
sweep,3219883294,0,1078530011,0
sweep,3219799408,0,1078530011,0
sweep,3219715522,0,1078530011,0
sweep,3219631636,0,1078530011,0
sweep,3219547750,0,1078530011,0
sweep,3219463864,0,1078530011,0
sweep,3219379978,0,1078530011,0
sweep,3219296092,0,1078530011,0
sweep,3219212206,0,1078530011,0
sweep,3219128320,0,1078530011,0
sweep,3219044434,0,1078530011,0
sweep,3218960548,0,1078530011,0
sweep,3218876661,0,1078530011,0
sweep,3218792775,0,1078530011,0
sweep,3218708889,0,1078530011,0
sweep,3218625003,0,1078530011,0
sweep,3218541117,0,1078530011,0
sweep,3218457231,0,1078530011,0
sweep,3218373345,0,1078530011,0
sweep,3218289459,0,1078530011,0
sweep,3218205573,0,1078530011,0
sweep,3218121687,0,1078530011,0
sweep,3218037801,0,1078530011,0
sweep,3217953915,0,1078530011,0
sweep,3217870028,0,1078530011,0
sweep,3217786142,0,1078530011,0
sweep,3217702256,0,1078530011,0
sweep,3217618370,0,1078530011,0
sweep,3217534484,0,1078530011,0
sweep,3217450598,0,1078530011,0
sweep,3217366712,0,1078530011,0
sweep,3217282826,0,1078530011,0
sweep,3217198940,0,1078530011,0
sweep,3217115054,0,1078530011,0
sweep,3217031168,0,1078530011,0
sweep,3216947282,0,1078530011,0
sweep,3216863396,0,1078530011,0
sweep,3216779509,0,1078530011,0
sweep,3216695623,0,1078530011,0
sweep,3216611737,0,1078530011,0
sweep,3216527851,0,1078530011,0
sweep,3216443965,0,1078530011,0
sweep,3216360079,0,1078530011,0
sweep,3216276193,0,1078530011,0
sweep,3216192307,0,1078530011,0
sweep,3216108421,0,1078530011,0
sweep,3216024535,0,1078530011,0
sweep,3215940649,0,1078530011,0
sweep,3215856763,0,1078530011,0
sweep,3215772877,0,1078530011,0
sweep,3215688990,0,1078530011,0
sweep,3215605104,0,1078530011,0
sweep,3215521218,0,1078530011,0
sweep,3215437332,0,1078530011,0
sweep,3215353446,0,1078530011,0
sweep,3215269560,0,1078530011,0
sweep,3215185674,0,1078530011,0
sweep,3215101788,0,1078530011,0
sweep,3215017902,0,1078530011,0
sweep,3214934016,0,1078530011,0
sweep,3214850130,0,1078530011,0
sweep,3214766244,0,1078530011,0
sweep,3214682358,0,1078530011,0
sweep,3214598471,0,1078530011,0
sweep,3214514585,0,1078530011,0
sweep,3214430699,0,1078530011,0
sweep,3214346813,0,1078530011,0
sweep,3214262927,0,1078530011,0
sweep,3214179041,0,1078530011,0
sweep,3214095155,0,1078530011,0
sweep,3214011269,0,1078530011,0
sweep,3213927383,0,1078530011,0
sweep,3213843497,0,1078530011,0
sweep,3213759611,0,1078530011,0
sweep,3213675725,0,1078530011,0
sweep,3213591839,0,1078530011,0
sweep,3213507952,0,1078530011,0
sweep,3213424066,0,1078530011,0
sweep,3213340180,0,1078530011,0
sweep,3213256294,0,1078530011,0
sweep,3213172408,0,1078530011,0
sweep,3213088522,0,1078530011,0
sweep,3213004636,0,1078530011,0
sweep,3212920750,0,1078530011,0
sweep,3212836864,0,1078530011,0
sweep,3212669091,0,1078530011,0
sweep,3212501319,0,1078530011,0
sweep,3212333547,0,1078530011,0
sweep,3212165775,0,1078530011,0
sweep,3211998003,0,1078530011,0
sweep,3211830231,0,1078530011,0
sweep,3211662459,0,1078530011,0
sweep,3211494686,0,1078530011,0
sweep,3211326914,0,1078530011,0
sweep,3211159142,0,1078530011,0
sweep,3210991370,0,1078530011,0
sweep,3210823598,0,1078530011,0
sweep,3210655826,0,1078530011,0
sweep,3210488053,0,1078530011,0
sweep,3210320281,0,1078530011,0
sweep,3210152509,0,1078530011,0
sweep,3209984737,0,1078530011,0
sweep,3209816965,0,1078530011,0
sweep,3209649193,0,1078530011,0
sweep,3209481420,0,1078530011,0
sweep,3209313648,0,1078530011,0
sweep,3209145876,0,1078530011,0
sweep,3208978104,0,1078530011,0
sweep,3208810332,0,1078530011,0
sweep,3208642560,0,1078530011,0
sweep,3208474788,0,1078530011,0
sweep,3208307015,0,1078530011,0
sweep,3208139243,0,1078530011,0
sweep,3207971471,0,1078530011,0
sweep,3207803699,0,1078530011,0
sweep,3207635927,0,1078530011,0
sweep,3207468155,0,1078530011,0
sweep,3207300382,0,1078530011,0
sweep,3207132610,0,1078530011,0
sweep,3206964838,0,1078530011,0
sweep,3206797066,0,1078530011,0
sweep,3206629294,0,1078530011,0
sweep,3206461522,0,1078530011,0
sweep,3206293750,0,1078530011,0
sweep,3206125977,0,1078530011,0
sweep,3205958205,0,1078530011,0
sweep,3205790433,0,1078530011,0
sweep,3205622661,0,1078530011,0
sweep,3205454889,0,1078530011,0
sweep,3205287117,0,1078530011,0
sweep,3205119344,0,1078530011,0
sweep,3204951572,0,1078530011,0
sweep,3204783800,0,1078530011,0
sweep,3204616028,0,1078530011,0
sweep,3204448256,0,1078530011,0
sweep,3204112711,0,1078530011,0
sweep,3203777167,0,1078530011,0
sweep,3203441623,0,1078530011,0
sweep,3203106078,0,1078530011,0
sweep,3202770534,0,1078530011,0
sweep,3202434990,0,1078530011,0
sweep,3202099445,0,1078530011,0
sweep,3201763901,0,1078530011,0
sweep,3201428357,0,1078530011,0
sweep,3201092812,0,1078530011,0
sweep,3200757268,0,1078530011,0
sweep,3200421724,0,1078530011,0
sweep,3200086180,0,1078530011,0
sweep,3199750635,0,1078530011,0
sweep,3199415091,0,1078530011,0
sweep,3199079547,0,1078530011,0
sweep,3198744002,0,1078530011,0
sweep,3198408458,0,1078530011,0
sweep,3198072914,0,1078530011,0
sweep,3197737369,0,1078530011,0
sweep,3197401825,0,1078530011,0
sweep,3197066281,0,1078530011,0
sweep,3196730736,0,1078530011,0
sweep,3196395192,0,1078530011,0
sweep,3196059648,0,1078530011,0
sweep,3195388559,0,1078530011,0
sweep,3194717470,0,1078530011,0
sweep,3194046382,0,1078530011,0
sweep,3193375293,0,1078530011,0
sweep,3192704204,0,1078530011,0
sweep,3192033116,0,1078530011,0
sweep,3191362027,0,1078530011,0
sweep,3190690939,0,1078530011,0
sweep,3190019850,0,1078530011,0
sweep,3189348761,0,1078530011,0
