time_us,in_hdem,in_easd,in_stg,in_dbey,in_pmin,in_thnu,in_hafe,in_ldf,in_ptrm,in_vdlpf,in_tasd,in_tasmn,in_tasmx,in_tascr,in_cosr,in_ptchm,in_prop,in_appr,in_flar,in_glid,in_uas,in_lpcd,in_pmne,in_pmxe,in_tmne,in_tmxe,in_pfai,in_h,in_dh,in_sp,in_dsp,out_th,out_ph,out_hdem,out_spdem,out_dhdem,out_dspdem,out_pmin,out_pmax,out_PEW,out_KEW,out_EBD,out_EBE,out_EBDD,out_EBDE,out_EBDDT,out_Imin,out_Imax,out_I,out_KI,out_tmin,out_tmax,out_hdin,out_hdip,out_hrtl,out_hlpf,out_mcs,out_mss,out_crl,out_srl,out_pto,out_tcs,out_scs,out_pdu,out_dt,out_P,out_K,out_Pdem,out_Kdem
36104719,1470,3000,3,0,0,0,17.2794285,1,0,-0.00623304676,30.8856411,10.2952137,30.8856411,22.6494694,0.999998868,-0.0831157044,0.0113866478,0,0,0,1,100,-90,90,0,1,0,17.2794285,-0.347085357,28.0080948,-0.544311821,0.645119905,-0.0633826181,14.8442326,27.9090176,-0.0496797562,0.875340641,-0.34906584,0.261799395,1,1,-243.884445,-222.773376,-4.7094059,11.6668167,-9.62227249,-110.22319,105.498642,-9.08623409,1.29948485,0,1,14.6999998,14.6999998,14.6999998,14.8442326,1,1,5,5,0,0,0,-0.0633826181,0.0999599993,169.453308,392.226685,145.572189,389.456635
36204679,1470,3000,3,0,0,0,17.2301102,1,0,-0.0191801134,30.8855553,10.2951851,30.8855553,22.6494064,1,-0.0802974924,0.0141547574,0,0,0,1,100,-90,90,0,1,0,17.2301102,-0.394124687,27.9594803,-0.730986238,0.658400059,-0.0738143995,14.8395815,27.9966679,-0.0480775833,0.876862645,-0.34906584,0.261799395,1,1,-246.380127,-221.896606,-5.36818409,16.0366859,-11.7896452,-107.847801,107.499603,-9.72812366,1.2786845,0,1,14.6999998,14.6999998,14.6999998,14.8395815,1,1,5,5,0,0,0,-0.0738143995,0.0999599993,168.969666,390.866272,145.526581,391.906708
36304639,1470,3000,3,0,0,0,17.1954155,1,0,-0.0353264101,30.8855553,10.2951851,30.8855553,22.6494064,0.999999523,-0.0688050762,0.0168956798,0,0,0,1,100,-90,90,0,1,0,17.1954155,-0.162448704,27.8863811,-0.890044212,0.67242974,-0.0882683843,14.8350801,28.084549,-0.0465272255,0.879161179,-0.34906584,0.261799395,1,1,-248.888504,-220.195709,-6.19483519,22.241909,-14.7258587,-104.598793,110.185585,-10.5808849,1.16781271,0,1,14.6999998,14.6999998,14.6999998,14.8350801,1,1,5,5,0,0,0,-0.0882683843,0.0999599993,168.629425,388.825134,145.482437,394.370941
36404599,1470,3000,3,0,0,0,17.1925278,1.00000012,0,-0.0527921319,30.8854504,10.2951508,30.8854504,22.6493301,0.999999702,-0.0566792637,0.0196116213,0,0,0,1,100,-90,90,0,1,0,17.1925278,0.171798453,27.796814,-0.92355442,0.684428394,-0.101663388,14.8307238,28.1727123,-0.0450267792,0.881994069,-0.34906584,0.261799395,1,1,-251.411148,-217.730316,-7.17772818,25.889185,-17.0978031,-101.843597,112.250923,-11.5724955,0.957508087,0,1,14.6999998,14.6999998,14.6999998,14.8307238,1,1,5,5,0,0,0,-0.101663388,0.0999599993,168.601105,386.331421,145.439713,396.850861
36504559,1470,3000,3,0,0,0,17.2215118,1.00000012,0,-0.0673640594,30.8855896,10.2951965,30.8855896,22.6494331,1,-0.0508566871,0.0223009754,0,0,0,1,100,-90,90,0,1,0,17.2215118,0.403576493,27.7201195,-0.679815292,0.690369487,-0.105465151,14.8265076,28.2611198,-0.0435746498,0.884434283,-0.34906584,0.261799395,1,1,-253.947083,-215.317169,-8.1533041,20.9349556,-16.8797836,-101.733452,111.77037,-12.4447947,0.654770374,0,1,14.6999998,14.6999998,14.6999998,14.8265076,1,1,5,5,0,0,0,-0.105465151,0.0999599993,168.885345,384.202515,145.398376,399.345459
36604519,1470,3000,3,0,0,0,17.263792,1.00000024,0,-0.0768032596,30.8855515,10.2951832,30.8855515,22.6494045,0.999999881,-0.0540369637,0.0249767769,0,0,0,1,100,-90,90,0,1,0,17.263792,0.410406232,27.6550503,-0.437132925,0.692814648,-0.106518447,14.8224277,28.3497353,-0.0421692543,0.88651526,-0.34906584,0.261799395,1,1,-256.495392,-213.100937,-9.09243011,13.989645,-16.0170536,-102.317749,110.684891,-13.1369801,0.265868992,0,1,14.6999998,14.6999998,14.6999998,14.8224277,1,1,5,5,0,0,0,-0.106518447,0.0999599993,169.299973,382.400909,145.358368,401.85376
36704479,1470,3000,3,0,0,0,17.2923031,1.00000036,0,-0.0794550702,30.8859806,10.2953272,30.8859806,22.6497192,0.999999702,-0.0645923018,0.0276370514,0,0,0,1,100,-90,90,0,1,0,17.2923031,0.189253092,27.6115208,-0.0688838959,0.692600787,-0.0997155607,14.8184795,28.4384918,-0.0408093147,0.887912869,-0.34906584,0.261799395,1,1,-259.05426,-211.618469,-9.88736057,1.5640527,-13.3227844,-104.825752,107.841621,-13.4803848,-0.197463036,0,1,14.6999998,14.6999998,14.6999998,14.8184795,1,1,5,5,0,0,0,-0.0997155607,0.0999599993,169.579559,381.198029,145.319641,404.373901
36804439,1470,3000,3,0,0,0,17.2910576,1.00000095,0,-0.0756914839,30.8855324,10.2951784,30.8855324,22.6493912,1,-0.0779876336,0.030272048,0,0,0,1,100,-90,90,0,1,0,17.2910576,-0.16923587,27.5834656,0.223521829,0.692628682,-0.0922538415,14.8146582,28.527338,-0.0394932441,0.888815939,-0.34906584,0.261799395,1,1,-261.622345,-210.856445,-10.5404768,-9.91297722,-10.7287264,-107.299767,105.151527,-13.4992027,-0.726865411,0,1,14.6999998,14.6999998,14.6999998,14.8146582,1,1,5,5,0,0,0,-0.0922538415,0.0999599993,169.567352,380.423798,145.282166,406.90451
36904399,1470,3000,3,0,0,0,17.2506866,1.00000131,0,-0.0682552159,30.8855972,10.2952042,30.8855972,22.6494389,0.99999994,-0.0879721344,0.0328931287,0,0,0,1,100,-90,90,0,1,0,17.2506866,-0.492121696,27.5683708,0.327640772,0.695224822,-0.0899312496,14.8109608,28.6162319,-0.0382194519,0.889302611,-0.34906584,0.261799395,1,1,-264.198456,-210.83609,-11.0472775,-15.7402725,-9.63937855,-108.324516,104.010506,-13.358469,-1.31536651,0,1,14.6999998,14.6999998,14.6999998,14.8109608,1,1,5,5,0,0,0,-0.0899312496,0.0999599993,169.171448,380.007538,145.245911,409.444366
37004359,1470,3000,3,0,0,0,17.1829643,1.00000191,0,-0.0606767498,30.885704,10.2952404,30.885704,22.6495171,0.999999583,-0.092260167,0.0355107822,0,0,0,1,100,-90,90,0,1,0,17.1829643,-0.681105494,27.5416889,0.307103753,0.7022717,-0.0931707621,14.8073826,28.7052135,-0.036986988,0.890164137,-0.34906584,0.261799395,1,1,-266.783813,-210.764984,-11.5664845,-16.8086586,-9.99383163,-107.855896,104.273621,-13.2012663,-1.96955109,0,1,14.6999998,14.6999998,14.6999998,14.8073826,1,1,5,5,0,0,0,-0.0931707621,0.0999599993,168.507324,379.272308,145.210815,411.994629
